"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62"
"future_column","SE:T1. Total Population","Total Population","SE:T2. Population Density (per Sq. Mile)","Total Population","Population Density (Per Sq. Mile)","Area (Land)","SE:T57. Median Household Income (In 2016 Inflation Adjusted Dollars)","Median Household Income (In 2016 Inflation Adjusted Dollars)","SE:T61. Median Family Income (In 2016 Inflation Adjusted Dollars)","Median Family Income (In 2016 Inflation Adjusted Dollars)","SE:T157. Gini Index of Income Inequality","Gini Index","SE:T93. Housing Units","Housing Units","SE:T238. Total Population in Renter Occupied Housing Units by Units in Structure","Total Population in Renter Occupied Housing Units:","1, Detached or Attached","2 To 4","5 or More","Mobile Home","Boat, Rv, Van, Etc.","SE:T101. Median House Value for All Owner-Occupied Housing Units","Median Value","SE:T104. Median Gross Rent","Median Gross Rent","SE:T105. Median Gross Rent as a Percentage of Household Income in The Past 12 Months (Dollars)","Median Gross Rent as a Percentage of Household  Income in The Past 12 Months (Dollars)","SE:T112. Median Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months (Dollars) and Mortgage Status","Median Selected Monthly Owner Costs as a Percentage of Household Income:","Housing Units with a Mortgage","Housing Units Without a Mortgage","SE:T225. Monthly Housing Costs as a Percentage of Household Income in the Past 12 Months (Renter-Occupied Housing Units)","Renter-Occupied Housing Units:","Less Than $20,000:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$20,000 To $34,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$35,000 To $49,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$50,000 To $74,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$75,000 or More:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","Zero or Negative Income","No Cash Rent","SE:T147. Average Commute to Work (in Min)","Average Commute to Work (in Min)","SE:T142. Owner-Occupied Housing Units","Owner-Occupied Housing Units","Note:","For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'","© Social Explorer 2005-2018"
"Los Gatos town, California",NA,"30,491",NA,"30,491","2,751.90","11.08",NA,"$127,278",NA,"$165,625",NA,"0.48",NA,"12,983",NA,"9,278","4,439","1,404","3,291","144","0",NA,"$1,338,400",NA,"$1,910",NA,"26.30%",NA,"22.00%","25.60%","10.00%",NA,"4,181","315","0","30","285","352","32","21","299","328","9","40","279","813","0","301","512","2,254","1,126","786","342","20","99",NA,"28",NA,"7,944",NA,NA,NA
"X169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.80%","15.10%","35.50%","1.60%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.50%","0.00%","0.70%","6.80%","8.40%","0.80%","0.50%","7.20%","7.90%","0.20%","1.00%","6.70%","19.50%","0.00%","7.20%","12.30%","53.90%","26.90%","18.80%","8.20%","0.50%","2.40%",NA,NA,NA,NA,NA,NA,NA
"Loyola CDP, California",NA,"3,425",NA,"3,425","2,332.50","1.47",NA,"$204,726",NA,"$231,932",NA,"0.45",NA,"1,204",NA,"122","122","0","0","0","0",NA,"$2,000,001",NA,"$2,917",NA,"15.50%",NA,"21.50%","24.70%","10.60%",NA,"53","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","43","28","11","4","0","6",NA,"26",NA,"1,086",NA,NA,NA
"X171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","7.60%","0.00%","0.00%","7.60%","81.10%","52.80%","20.80%","7.60%","0.00%","11.30%",NA,NA,NA,NA,NA,NA,NA
"Lucas Valley-Marinwood CDP, California",NA,"6,594",NA,"6,594","1,151.50","5.73",NA,"$119,148",NA,"$133,696",NA,"0.45",NA,"2,440",NA,"1,035","963","72","0","0","0",NA,"$802,400",NA,"$2,347",NA,"28.70%",NA,"23.00%","26.10%","10.10%",NA,"388","28","0","0","28","29","0","14","15","46","0","46","0","20","0","0","20","251","109","37","105","0","14",NA,"30",NA,"1,991",NA,NA,NA
"X173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93.00%","7.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.20%","0.00%","0.00%","7.20%","7.50%","0.00%","3.60%","3.90%","11.90%","0.00%","11.90%","0.00%","5.20%","0.00%","0.00%","5.20%","64.70%","28.10%","9.50%","27.10%","0.00%","3.60%",NA,NA,NA,NA,NA,NA,NA
"Marin City CDP, California",NA,"3,115",NA,"3,115","5,803.50","0.54",NA,"$40,517",NA,"$38,667",NA,"0.5",NA,"1,358",NA,"2,411","375","187","1,849","0","0",NA,"$533,000",NA,"$1,439",NA,"42.80%",NA,"23.30%","24.50%","16.50%",NA,"928","254","18","27","209","197","27","15","155","209","47","10","152","71","37","0","34","154","49","90","15","24","19",NA,"28",NA,"351",NA,NA,NA
"X175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.60%","7.80%","76.70%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.40%","1.90%","2.90%","22.50%","21.20%","2.90%","1.60%","16.70%","22.50%","5.10%","1.10%","16.40%","7.70%","4.00%","0.00%","3.70%","16.60%","5.30%","9.70%","1.60%","2.60%","2.10%",NA,NA,NA,NA,NA,NA,NA
"Martinez city, California",NA,"37,544",NA,"37,544","3,094.80","12.13",NA,"$93,874",NA,"$106,903",NA,"0.39",NA,"15,389",NA,"12,396","6,545","2,224","3,627","0","0",NA,"$462,300",NA,"$1,550",NA,"29.20%",NA,"21.60%","24.00%","10.20%",NA,"4,967","734","0","76","658","456","14","0","442","674","10","46","618","813","57","304","452","2,106","955","1,026","125","30","154",NA,"31",NA,"9,762",NA,NA,NA
"X177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52.80%","17.90%","29.30%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.80%","0.00%","1.50%","13.30%","9.20%","0.30%","0.00%","8.90%","13.60%","0.20%","0.90%","12.40%","16.40%","1.20%","6.10%","9.10%","42.40%","19.20%","20.70%","2.50%","0.60%","3.10%",NA,NA,NA,NA,NA,NA,NA
"Menlo Park city, California",NA,"33,319",NA,"33,319","3,403.50","9.79",NA,"$126,045",NA,"$164,014",NA,"0.53",NA,"12,557",NA,"12,590","4,248","2,472","5,739","0","131",NA,"$1,581,700",NA,"$1,934",NA,"27.20%",NA,"20.60%","25.00%","10.00%",NA,"4,980","476","17","24","435","455","7","64","384","423","15","17","391","691","9","206","476","2,670","1,433","890","347","63","202",NA,"24",NA,"6,843",NA,NA,NA
"X179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.70%","19.60%","45.60%","0.00%","1.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.60%","0.30%","0.50%","8.70%","9.10%","0.10%","1.30%","7.70%","8.50%","0.30%","0.30%","7.90%","13.90%","0.20%","4.10%","9.60%","53.60%","28.80%","17.90%","7.00%","1.30%","4.10%",NA,NA,NA,NA,NA,NA,NA
"Millbrae city, California",NA,"22,522",NA,"22,522","6,937.10","3.25",NA,"$98,533",NA,"$116,089",NA,"0.43",NA,"8,526",NA,"7,948","2,778","1,480","3,681","9","0",NA,"$1,037,400",NA,"$1,936",NA,"29.80%",NA,"23.20%","28.50%","12.30%",NA,"3,080","190","0","0","190","370","0","0","370","337","0","50","287","601","12","218","371","1,429","858","341","230","8","145",NA,"29",NA,"4,978",NA,NA,NA
"X181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.00%","18.60%","46.30%","0.10%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.20%","0.00%","0.00%","6.20%","12.00%","0.00%","0.00%","12.00%","10.90%","0.00%","1.60%","9.30%","19.50%","0.40%","7.10%","12.10%","46.40%","27.90%","11.10%","7.50%","0.30%","4.70%",NA,NA,NA,NA,NA,NA,NA
"Mill Valley city, California",NA,"14,318",NA,"14,318","3,006.10","4.76",NA,"$149,336",NA,"$183,529",NA,"0.52",NA,"6,298",NA,"3,718","1,839","441","1,438","0","0",NA,"$1,201,600",NA,"$1,968",NA,"27.20%",NA,"18.90%","21.80%","11.00%",NA,"1,877","280","0","79","201","87","0","15","72","189","20","0","169","178","0","65","113","1,074","473","384","217","19","50",NA,"32",NA,"4,145",NA,NA,NA
"X183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.50%","11.90%","38.70%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.90%","0.00%","4.20%","10.70%","4.60%","0.00%","0.80%","3.80%","10.10%","1.10%","0.00%","9.00%","9.50%","0.00%","3.50%","6.00%","57.20%","25.20%","20.50%","11.60%","1.00%","2.70%",NA,NA,NA,NA,NA,NA,NA
"Milpitas city, California",NA,"73,447",NA,"73,447","5,404.20","13.59",NA,"$103,623",NA,"$111,460",NA,"0.4",NA,"22,090",NA,"25,054","13,274","3,057","8,148","575","0",NA,"$635,300",NA,"$1,995",NA,"29.00%",NA,"21.30%","24.50%","10.00%",NA,"7,704","841","0","104","737","660","5","68","587","806","13","57","736","1,386","92","294","1,000","3,647","1,423","1,853","371","190","174",NA,"26",NA,"13,759",NA,NA,NA
"X185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53.00%","12.20%","32.50%","2.30%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.90%","0.00%","1.40%","9.60%","8.60%","0.10%","0.90%","7.60%","10.50%","0.20%","0.70%","9.60%","18.00%","1.20%","3.80%","13.00%","47.30%","18.50%","24.10%","4.80%","2.50%","2.30%",NA,NA,NA,NA,NA,NA,NA
"Montalvin Manor CDP, California",NA,"3,174",NA,"3,174","9,299.50","0.34",NA,"$65,074",NA,"$67,625",NA,"0.4",NA,"876",NA,"1,685","1,650","0","0","35","0",NA,"$172,300",NA,"$1,831",NA,"34.50%",NA,"18.80%","20.10%","18.00%",NA,"359","38","0","0","38","43","0","0","43","76","0","0","76","11","0","0","11","150","102","37","11","0","41",NA,"37",NA,"489",NA,NA,NA
"X187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97.90%","0.00%","0.00%","2.10%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.60%","0.00%","0.00%","10.60%","12.00%","0.00%","0.00%","12.00%","21.20%","0.00%","0.00%","21.20%","3.10%","0.00%","0.00%","3.10%","41.80%","28.40%","10.30%","3.10%","0.00%","11.40%",NA,NA,NA,NA,NA,NA,NA
"Montara CDP, California",NA,"2,895",NA,"2,895","746.5","3.88",NA,"$101,410",NA,"$125,556",NA,"0.37",NA,"1,180",NA,"297","111","0","186","0","0",NA,"$824,800",NA,"$1,682",NA,"50.00%",NA,"35.40%","37.90%","18.30%",NA,"146","47","0","0","47","82","0","0","82","0","0","0","0","0","0","0","0","17","17","0","0","0","0",NA,"33",NA,"958",NA,NA,NA
"X189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37.40%","0.00%","62.60%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.20%","0.00%","0.00%","32.20%","56.20%","0.00%","0.00%","56.20%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","11.60%","11.60%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Montclair city, California",NA,"38,294",NA,"38,294","6,940.90","5.52",NA,"$50,374",NA,"$55,141",NA,"0.39",NA,"11,233",NA,"15,395","6,257","3,682","5,070","386","0",NA,"$281,100",NA,"$1,170",NA,"37.30%",NA,"21.90%","27.60%","10.00%",NA,"4,474","859","0","33","826","978","8","70","900","953","35","281","637","746","127","243","376","671","404","185","82","139","128",NA,"31",NA,"6,020",NA,NA,NA
"X191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.60%","23.90%","32.90%","2.50%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.20%","0.00%","0.70%","18.50%","21.90%","0.20%","1.60%","20.10%","21.30%","0.80%","6.30%","14.20%","16.70%","2.80%","5.40%","8.40%","15.00%","9.00%","4.10%","1.80%","3.10%","2.90%",NA,NA,NA,NA,NA,NA,NA
"Moraga town, California",NA,"16,977",NA,"16,977","1,799.70","9.43",NA,"$136,336",NA,"$169,375",NA,"0.46",NA,"5,735",NA,"2,624","1,030","477","1,117","0","0",NA,"$971,700",NA,"$1,909",NA,"31.30%",NA,"22.00%","25.90%","10.00%",NA,"962","151","9","0","142","38","0","0","38","95","0","0","95","165","0","14","151","461","310","108","43","0","52",NA,"32",NA,"4,644",NA,NA,NA
"X193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39.30%","18.20%","42.60%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.70%","0.90%","0.00%","14.80%","4.00%","0.00%","0.00%","4.00%","9.90%","0.00%","0.00%","9.90%","17.20%","0.00%","1.50%","15.70%","47.90%","32.20%","11.20%","4.50%","0.00%","5.40%",NA,NA,NA,NA,NA,NA,NA
"Morgan Hill city, California",NA,"41,839",NA,"41,839","3,248.00","12.88",NA,"$100,900",NA,"$115,910",NA,"0.46",NA,"14,141",NA,"12,840","6,014","2,917","3,549","209","151",NA,"$678,900",NA,"$1,700",NA,"33.70%",NA,"23.20%","25.60%","11.30%",NA,"4,162","440","0","37","403","872","0","9","863","497","0","95","402","604","43","198","363","1,541","633","732","176","29","179",NA,"34",NA,"9,731",NA,NA,NA
"X195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.80%","22.70%","27.60%","1.60%","1.20%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.60%","0.00%","0.90%","9.70%","21.00%","0.00%","0.20%","20.70%","11.90%","0.00%","2.30%","9.70%","14.50%","1.00%","4.80%","8.70%","37.00%","15.20%","17.60%","4.20%","0.70%","4.30%",NA,NA,NA,NA,NA,NA,NA
"Moss Beach CDP, California",NA,"3,706",NA,"3,706","1,644.50","2.25",NA,"$93,635",NA,"$124,102",NA,"0.46",NA,"1,232",NA,"1,107","710","0","43","354","0",NA,"$740,200",NA,"$1,459",NA,"22.10%",NA,"22.70%","24.60%","15.50%",NA,"311","0","0","0","0","43","0","0","43","0","0","0","0","17","0","17","0","251","116","93","42","0","0",NA,"31",NA,"882",NA,NA,NA
"X197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64.10%","0.00%","3.90%","32.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%","0.00%","0.00%","13.80%","0.00%","0.00%","13.80%","0.00%","0.00%","0.00%","0.00%","5.50%","0.00%","5.50%","0.00%","80.70%","37.30%","29.90%","13.50%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Mountain View CDP, California",NA,"2,585",NA,"2,585","8,917.00","0.29",NA,"$63,630",NA,"$65,491",NA,"0.44",NA,"1,019",NA,"1,163","630","405","128","0","0",NA,"$334,000",NA,"$1,093",NA,"43.60%",NA,"23.40%","25.80%","10.00%",NA,"458","161","0","0","161","97","0","62","35","43","0","0","43","84","0","32","52","50","50","0","0","0","23",NA,"31",NA,"544",NA,NA,NA
"X199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54.20%","34.80%","11.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.20%","0.00%","0.00%","35.20%","21.20%","0.00%","13.50%","7.60%","9.40%","0.00%","0.00%","9.40%","18.30%","0.00%","7.00%","11.40%","10.90%","10.90%","0.00%","0.00%","0.00%","5.00%",NA,NA,NA,NA,NA,NA,NA
"Mountain View city, California",NA,"78,827",NA,"78,827","6,571.50","12",NA,"$109,249",NA,"$127,900",NA,"0.47",NA,"34,358",NA,"45,003","10,166","5,304","29,110","404","19",NA,"$973,000",NA,"$1,912",NA,"26.10%",NA,"20.10%","22.90%","11.00%",NA,"19,450","1,683","0","259","1,424","1,720","29","93","1,598","1,656","0","123","1,533","2,735","103","863","1,769","10,967","6,120","3,666","1,181","308","381",NA,"22",NA,"13,399",NA,NA,NA
"X201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.60%","11.80%","64.70%","0.90%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.70%","0.00%","1.30%","7.30%","8.80%","0.20%","0.50%","8.20%","8.50%","0.00%","0.60%","7.90%","14.10%","0.50%","4.40%","9.10%","56.40%","31.50%","18.90%","6.10%","1.60%","2.00%",NA,NA,NA,NA,NA,NA,NA
"Mount Hermon CDP, California",NA,"993",NA,"993","1,116.90","0.89",NA,"$75,804",NA,"$75,893",NA,"0.37",NA,"492",NA,"413","335","78","0","0","0",NA,"$573,000",NA,"$1,010",NA,"40.80%",NA,"14.80%","26.30%","10.00%",NA,"122","25","0","11","14","13","0","0","13","33","0","0","33","31","31","0","0","11","0","0","11","0","9",NA,"28",NA,"191",NA,NA,NA
"X203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.10%","18.90%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.50%","0.00%","9.00%","11.50%","10.70%","0.00%","0.00%","10.70%","27.10%","0.00%","0.00%","27.10%","25.40%","25.40%","0.00%","0.00%","9.00%","0.00%","0.00%","9.00%","0.00%","7.40%",NA,NA,NA,NA,NA,NA,NA
"Newark city, California",NA,"44,677",NA,"44,677","3,220.00","13.87",NA,"$91,965",NA,"$94,903",NA,"0.39",NA,"13,932",NA,"13,989","8,612","1,205","4,172","0","0",NA,"$547,800",NA,"$1,744",NA,"29.90%",NA,"21.40%","24.80%","10.00%",NA,"4,067","386","0","67","319","454","0","0","454","523","0","20","503","708","45","194","469","1,876","923","740","213","57","63",NA,"30",NA,"9,455",NA,NA,NA
"X205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61.60%","8.60%","29.80%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.50%","0.00%","1.70%","7.80%","11.20%","0.00%","0.00%","11.20%","12.90%","0.00%","0.50%","12.40%","17.40%","1.10%","4.80%","11.50%","46.10%","22.70%","18.20%","5.20%","1.40%","1.60%",NA,NA,NA,NA,NA,NA,NA
"Norris Canyon CDP, California",NA,"1,046",NA,"1,046","295.8","3.54",NA,"$223,542",NA,"$250,001",NA,"0.42",NA,"293",NA,"82","82","0","0","0","0",NA,"$1,758,600",NA,NA,NA,"17.90%",NA,"29.50%","35.10%",NA,NA,"48","0","0","0","0","0","0","0","0","12","0","0","12","0","0","0","0","22","22","0","0","0","14",NA,"40",NA,"235",NA,NA,NA
"X207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","25.00%","0.00%","0.00%","25.00%","0.00%","0.00%","0.00%","0.00%","45.80%","45.80%","0.00%","0.00%","0.00%","29.20%",NA,NA,NA,NA,NA,NA,NA
"North Fair Oaks CDP, California",NA,"15,144",NA,"15,144","12,617.20","1.2",NA,"$66,884",NA,"$57,398",NA,"0.49",NA,"4,326",NA,"8,411","3,806","2,670","1,805","130","0",NA,"$655,600",NA,"$1,515",NA,"41.30%",NA,"23.50%","26.90%","10.00%",NA,"2,050","345","0","0","345","516","0","8","508","253","0","64","189","327","39","56","232","609","285","230","94","0","0",NA,"24",NA,"2,220",NA,NA,NA
"X209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45.30%","31.70%","21.50%","1.60%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.80%","0.00%","0.00%","16.80%","25.20%","0.00%","0.40%","24.80%","12.30%","0.00%","3.10%","9.20%","16.00%","1.90%","2.70%","11.30%","29.70%","13.90%","11.20%","4.60%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"North Richmond CDP, California",NA,"4,039",NA,"4,039","2,867.70","1.41",NA,"$40,511",NA,"$41,696",NA,"0.49",NA,"1,275",NA,"2,450","1,728","552","170","0","0",NA,"$247,700",NA,"$1,159",NA,"44.10%",NA,"27.70%","28.80%","13.20%",NA,"670","276","0","63","213","138","0","0","138","74","18","18","38","48","0","15","33","82","65","17","0","31","21",NA,"30",NA,"391",NA,NA,NA
"X211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70.50%","22.50%","6.90%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41.20%","0.00%","9.40%","31.80%","20.60%","0.00%","0.00%","20.60%","11.00%","2.70%","2.70%","5.70%","7.20%","0.00%","2.20%","4.90%","12.20%","9.70%","2.50%","0.00%","4.60%","3.10%",NA,NA,NA,NA,NA,NA,NA
"Novato city, California",NA,"54,790",NA,"54,790","1,996.80","27.44",NA,"$83,895",NA,"$106,833",NA,"0.49",NA,"22,457",NA,"18,961","9,804","2,111","6,754","292","0",NA,"$625,900",NA,"$1,764",NA,"34.30%",NA,"23.40%","27.80%","12.50%",NA,"7,248","1,257","63","122","1,072","1,032","126","84","822","1,072","50","67","955","1,176","20","368","788","2,452","1,035","1,025","392","10","249",NA,"32",NA,"14,461",NA,NA,NA
"X213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.70%","11.10%","35.60%","1.50%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.30%","0.90%","1.70%","14.80%","14.20%","1.70%","1.20%","11.30%","14.80%","0.70%","0.90%","13.20%","16.20%","0.30%","5.10%","10.90%","33.80%","14.30%","14.10%","5.40%","0.10%","3.40%",NA,NA,NA,NA,NA,NA,NA
"Oakland city, California",NA,"412,040",NA,"412,040","7,386.10","55.79",NA,"$57,778",NA,"$64,555",NA,"0.52",NA,"169,654",NA,"234,039","77,119","63,077","92,940","783","120",NA,"$500,500",NA,"$1,189",NA,"32.10%",NA,"22.90%","26.30%","12.10%",NA,"95,994","23,754","469","2,555","20,730","16,441","734","1,373","14,334","12,315","827","3,799","7,689","15,798","2,992","7,477","5,329","23,789","14,586","7,415","1,788","1,865","2,032",NA,"31",NA,"62,943",NA,NA,NA
"X215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.00%","27.00%","39.70%","0.30%","0.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.80%","0.50%","2.70%","21.60%","17.10%","0.80%","1.40%","14.90%","12.80%","0.90%","4.00%","8.00%","16.50%","3.10%","7.80%","5.60%","24.80%","15.20%","7.70%","1.90%","1.90%","2.10%",NA,NA,NA,NA,NA,NA,NA
"Oakley city, California",NA,"38,968",NA,"38,968","2,458.10","15.85",NA,"$82,584",NA,"$90,426",NA,"0.38",NA,"11,818",NA,"10,529","8,170","209","1,653","497","0",NA,"$324,000",NA,"$1,498",NA,"32.10%",NA,"24.40%","25.50%","13.70%",NA,"2,959","601","0","31","570","452","11","36","405","328","0","164","164","541","92","215","234","847","383","357","107","54","136",NA,"41",NA,"8,504",NA,NA,NA
"X217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77.60%","2.00%","15.70%","4.70%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.30%","0.00%","1.10%","19.30%","15.30%","0.40%","1.20%","13.70%","11.10%","0.00%","5.50%","5.50%","18.30%","3.10%","7.30%","7.90%","28.60%","12.90%","12.10%","3.60%","1.80%","4.60%",NA,NA,NA,NA,NA,NA,NA
"Orinda city, California",NA,"18,936",NA,"18,936","1,493.10","12.68",NA,"$178,704",NA,"$223,333",NA,"0.48",NA,"7,049",NA,"2,171","1,871","28","272","0","0",NA,"$1,125,000",NA,"$2,337",NA,"18.80%",NA,"17.50%","21.90%","10.00%",NA,"876","101","0","0","101","23","17","0","6","90","52","0","38","19","0","0","19","561","373","55","133","0","82",NA,"33",NA,"6,008",NA,NA,NA
"X219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86.20%","1.30%","12.50%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.50%","0.00%","0.00%","11.50%","2.60%","1.90%","0.00%","0.70%","10.30%","5.90%","0.00%","4.30%","2.20%","0.00%","0.00%","2.20%","64.00%","42.60%","6.30%","15.20%","0.00%","9.40%",NA,NA,NA,NA,NA,NA,NA
"Pacifica city, California",NA,"38,844",NA,"38,844","3,068.70","12.66",NA,"$103,545",NA,"$120,480",NA,"0.42",NA,"14,489",NA,"11,451","5,929","1,576","3,784","162","0",NA,"$680,500",NA,"$1,937",NA,"28.60%",NA,"23.40%","26.50%","10.00%",NA,"4,436","523","0","71","452","351","0","0","351","534","26","16","492","682","6","223","453","2,133","885","1,088","160","21","192",NA,"30",NA,"9,462",NA,NA,NA
"X221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.80%","13.80%","33.10%","1.40%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.80%","0.00%","1.60%","10.20%","7.90%","0.00%","0.00%","7.90%","12.00%","0.60%","0.40%","11.10%","15.40%","0.10%","5.00%","10.20%","48.10%","20.00%","24.50%","3.60%","0.50%","4.30%",NA,NA,NA,NA,NA,NA,NA
"Pajaro CDP, California",NA,"3,524",NA,"3,524","3,802.00","0.93",NA,"$39,205",NA,"$33,241",NA,"0.34",NA,"640",NA,"3,155","1,237","710","1,078","130","0",NA,NA,NA,"$1,260",NA,"32.90%",NA,"27.00%","28.00%","14.00%",NA,"555","65","0","0","65","207","0","31","176","40","7","0","33","147","37","64","46","96","50","46","0","0","0",NA,"22",NA,"70",NA,NA,NA
